UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Air temperature [K]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_mean,Process temperature [K]_roll_std,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_mean,Rotational speed [rpm]_roll_std,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_mean,Torque [Nm]_roll_std,Torque [Nm]_roll_var,Tool wear [min]_roll_mean,Tool wear [min]_roll_std,Tool wear [min]_roll_var,timestamp,ambient_temperature,humidity,factory_load
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.72,0.1303840481042641,0.017000000000055,309.22,0.0447213595517386,0.0020000000001558,1440.2,143.84436033435583,20691.2,45.52,8.056488068631378,64.90699999999975,47.6,5.128352561983234,26.3,2024-01-01 04:45:00,29.75,57.03,69.31
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.78000000000003,0.1303840481042854,0.0170000000000606,309.24,0.0547722557520151,0.0030000000001641,1406.8,133.2992873199253,17768.7,44.38,7.949654080524497,63.19699999999978,50.8,5.718391382198319,32.7,2024-01-01 05:00:00,29.08,56.34,84.41
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.82000000000005,0.0836660026538058,0.0070000000000666,309.26000000000005,0.0547722557520955,0.0030000000001729,1434.6,122.37156532462924,14974.800000000005,44.02,7.864286363046541,61.84699999999979,54.6,6.348228099241552,40.3,2024-01-01 05:15:00,26.6,66.27,77.99
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.86,0.0547722557511797,0.0030000000000726,309.28000000000003,0.0447213595520341,0.0020000000001823,1468.8,136.81995468498008,18719.700000000004,41.04,9.719979423846528,94.47799999999988,58.2,6.058052492344383,36.7,2024-01-01 05:30:00,36.11,59.87,87.5
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.9,0.0707106781192341,0.0050000000000819,309.32,0.0447213595522597,0.0020000000002024,1559.2,150.95595384084726,22787.700000000004,35.28,8.157327993896045,66.54200000000009,61.8,5.263078946776306,27.7,2024-01-01 05:45:00,29.23,51.81,77.92
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.92,0.0836660026539128,0.0070000000000845,309.34000000000003,0.0547722557524698,0.0030000000002139,1545.0,145.64168359367454,21211.500000000007,36.24,8.029819425117855,64.47800000000004,64.8,4.658325879540847,21.700000000000006,2024-01-01 06:00:00,27.86,78.73,68.34
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.93999999999994,0.0894427191004755,0.0080000000000865,309.38,0.0836660026548347,0.0070000000002388,1642.2,164.74434739923552,27140.700000000004,32.36,8.779977220927181,77.08800000000018,67.8,3.962322551231792,15.700000000000015,2024-01-01 06:15:00,28.24,51.91,97.67
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,299.0,0.0707106781193517,0.0050000000000985,309.42,0.0836660026549858,0.0070000000002641,1654.6,148.15971112282853,21951.3,31.2,6.909413868049897,47.74000000000024,70.2,3.962322551231792,15.700000000000015,2024-01-01 06:30:00,32.66,55.62,97.72
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,299.04,0.0547722557514632,0.0030000000001036,309.43999999999994,0.0547722557530626,0.0030000000002789,1700.6,155.13639160429122,24067.3,29.98,7.530405035587413,56.70700000000027,72.6,3.6469165057620967,13.30000000000002,2024-01-01 06:45:00,31.83,36.13,87.1
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,299.06000000000006,0.0547722557514866,0.0030000000001062,309.44,0.0547722557530626,0.0030000000002789,1636.8,187.78764602603653,35264.2,33.68,9.250243240045103,85.56700000000015,75.4,4.505552130427526,20.30000000000002,2024-01-01 07:00:00,32.06,49.3,89.96
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,299.06000000000006,0.0547722557514866,0.0030000000001062,309.43999999999994,0.0547722557530626,0.0030000000002789,1663.2,183.70138812758057,33746.2,32.239999999999995,9.105108456245878,82.9030000000002,78.2,4.658325879540847,21.700000000000003,2024-01-01 07:15:00,32.15,67.74,75.6
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.08000000000004,0.0447213595512184,0.0020000000001093,309.43999999999994,0.0547722557530626,0.0030000000002789,1558.8,191.3562123370966,36617.2,37.220000000000006,9.777627524098062,95.602,80.8,4.658325879540847,21.700000000000003,2024-01-01 07:30:00,40.71,64.81,77.07
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.06,0.0547722557514866,0.0030000000001062,309.42,0.0447213595529477,0.002000000000264,1616.0,215.13716554793595,46284.0,34.52,10.95613983116317,120.03700000000016,83.6,4.505552130427526,20.30000000000002,2024-01-01 07:45:00,27.97,68.99,75.28
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.0547722557514632,0.0030000000001036,309.42,0.0447213595529477,0.002000000000264,1537.6,196.96903309911437,38796.8,39.260000000000005,10.715549449281632,114.82299999999988,86.4,3.6469165057620967,13.300000000000022,2024-01-01 08:00:00,27.44,68.26,81.21
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.0,0.0707106781193803,0.0050000000001026,309.4,0.0707106781204072,0.0050000000002478,1582.8,194.60267212964987,37870.2,36.92,10.644341219634024,113.30199999999996,88.6,3.6469165057620967,13.300000000000022,2024-01-01 08:15:00,25.93,90.0,100.0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,298.96,0.1140175425103548,0.0130000000001005,309.34000000000003,0.1516575088816895,0.0230000000001997,1556.0,184.60227517557848,34078.0,37.84,10.091977011468067,101.84799999999991,90.8,3.492849839314601,12.200000000000037,2024-01-01 08:30:00,33.08,48.78,84.99
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.9,0.100000000000469,0.0100000000000938,309.28000000000003,0.1303840481046428,0.0170000000001538,1578.6,156.11310002687154,24371.3,37.92,10.195685361955809,103.95199999999994,93.2,3.492849839314601,12.200000000000037,2024-01-01 08:45:00,35.64,35.71,56.77
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.88,0.0836660026539625,0.0070000000000928,309.23999999999995,0.114017542510457,0.0130000000001238,1535.2,99.92096877032364,9984.199999999988,40.16,7.71284642657948,59.48799999999985,95.6,3.974921382870363,15.80000000000004,2024-01-01 09:00:00,29.43,44.24,76.55
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.84000000000003,0.0547722557513724,0.0030000000000937,309.18,0.083666002653858,0.0070000000000753,1539.2,94.35147057677472,8902.199999999988,38.34,6.246038744676497,39.01299999999995,98.2,4.438468204234434,19.700000000000045,2024-01-01 09:15:00,25.8,49.45,86.27
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.84,0.0547722557513724,0.0030000000000937,309.16,0.0547722557510402,0.0030000000000573,1482.0,85.27602242131131,7271.99999999999,41.98,7.219210483148402,52.11699999999979,100.8,4.438468204234434,19.700000000000045,2024-01-01 09:30:00,25.88,45.39,81.1
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.84000000000003,0.0547722557513724,0.0030000000000937,309.16,0.0547722557510402,0.0030000000000573,1440.2,89.22835872075643,7961.699999999992,45.540000000000006,7.119901684714447,50.69299999999963,104.0,4.949747468305838,24.50000000000005,2024-01-01 09:45:00,33.25,61.4,70.92
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.84000000000003,0.0547722557513724,0.0030000000000937,309.14,0.0547722557509014,0.0030000000000421,1422.2,95.13516699938036,9050.699999999992,44.9,6.917008023705022,47.84499999999966,107.0,4.949747468305838,24.50000000000005,2024-01-01 10:00:00,33.72,78.79,75.2
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.82,0.0447213595510714,0.0020000000000962,309.12,0.0447213595503103,0.0020000000000281,1379.6,34.818098741889905,1212.2999999999952,47.72,5.458662839926966,29.796999999999528,109.8,4.658325879540852,21.700000000000053,2024-01-01 10:15:00,32.72,83.09,72.74
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.82,0.0447213595510714,0.0020000000000962,309.12,0.0447213595503103,0.0020000000000281,1365.4,10.573551910308726,111.79999999999332,49.7,2.687936011143019,7.224999999999445,112.4,4.219004621945803,17.800000000000047,2024-01-01 10:30:00,26.67,67.56,86.0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.0447213595503103,0.0020000000000281,1364.0,8.602325267042263,73.99999999999372,49.26,2.663268668384671,7.09299999999946,115.2,3.4928498393146006,12.200000000000031,2024-01-01 10:45:00,31.16,90.0,80.87
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.0447213595503103,0.0020000000000281,1388.4,46.8700330701824,2196.799999999991,48.26,1.9982492337042173,3.992999999999492,118.0,4.690415759823432,22.00000000000003,2024-01-01 11:00:00,30.58,54.65,88.05
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.0447213595503103,0.0020000000000281,1413.8,61.20620883537872,3746.199999999992,49.0,1.199999999999778,1.4399999999994673,121.0,5.43139024560011,29.50000000000003,2024-01-01 11:15:00,31.09,35.51,81.82
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.78000000000003,0.0447213595511413,0.0020000000001024,309.1,0.0707106781187618,0.0050000000000151,1508.8,194.91972706732375,37993.7,44.0,10.195096860746329,103.93999999999964,124.0,5.43139024560011,29.50000000000003,2024-01-01 11:30:00,34.36,75.8,87.55
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.78,0.0447213595511413,0.0020000000001024,309.1,0.0707106781187618,0.0050000000000151,1518.8,187.0125664226872,34973.7,43.44,9.918064327276753,98.36799999999964,127.2,4.969909455915674,24.700000000000024,2024-01-01 11:45:00,31.12,32.42,69.19
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.78000000000003,0.0447213595511413,0.0020000000001024,309.1,0.0707106781187618,0.0050000000000151,1529.4,177.89125891959955,31645.300000000003,44.52,10.85642666810768,117.8619999999996,130.2,3.9623225512317934,15.700000000000037,2024-01-01 12:00:00,33.39,48.67,79.33
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.0707106781193633,0.0050000000001002,309.12,0.0836660026535748,0.0070000000000279,1517.4,184.62746274593064,34087.3,43.84,10.728839639028989,115.10799999999963,133.2,4.658325879540855,21.70000000000008,2024-01-01 12:15:00,30.34,67.8,81.63
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.82,0.0836660026539999,0.0070000000000991,309.12,0.0836660026535748,0.0070000000000279,1791.8,625.3652532720379,391081.7,34.94,19.852531324745463,394.1229999999999,136.2,5.263078946776318,27.70000000000012,2024-01-01 12:30:00,31.45,58.46,88.22
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.86,0.0547722557514022,0.003000000000097,309.14,0.0547722557508956,0.0030000000000415,1699.8,649.3271132487846,421625.7,40.760000000000005,20.74844572492117,430.4979999999997,139.2,5.118593556827907,26.200000000000163,2024-01-01 12:45:00,33.16,57.14,92.87
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.86,0.0547722557514022,0.003000000000097,309.12,0.0836660026535748,0.0070000000000279,1715.6,641.6718787667105,411742.8,40.26,20.611234800467432,424.8229999999997,142.0,4.690415759823449,22.000000000000185,2024-01-01 13:00:00,22.71,42.29,72.89
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.84000000000003,0.0894427191005335,0.0080000000000969,309.08000000000004,0.0836660026534236,0.0070000000000026,1743.6,628.7454174783304,395320.8,36.5,19.16494195138613,367.2949999999999,145.4,4.505552130427543,20.30000000000017,2024-01-01 13:15:00,28.4,59.84,81.36
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.1000000000004889,0.0100000000000977,309.0400000000001,0.0547722557503416,0.0029999999999808,1799.4,603.8466692795448,364630.8,33.7,18.796143221416457,353.2949999999999,148.2,4.658325879540866,21.700000000000188,2024-01-01 13:30:00,27.65,75.05,85.59
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.78,0.0836660026540054,0.0070000000001,309.04,0.0547722557503416,0.0029999999999808,1529.6,111.99017814076376,12541.8,40.92,9.417112083860944,88.68199999999977,150.8,4.658325879540866,21.700000000000188,2024-01-01 13:45:00,26.81,60.3,85.79
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.76,0.0547722557514612,0.0030000000001034,309.04,0.0547722557503416,0.0029999999999808,1548.4,86.13245613588414,7418.800000000006,38.42,5.705874166155422,32.55699999999984,153.4,4.219004621945817,17.80000000000016,2024-01-01 14:00:00,28.62,47.55,76.85
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.76000000000005,0.0547722557514612,0.0030000000001034,309.06,0.0547722557504454,0.0029999999999922,1551.6,84.01666501355552,7058.800000000004,37.72,5.058853625081463,25.59199999999986,156.0,3.162277660168403,10.00000000000015,2024-01-01 14:15:00,37.47,41.29,93.18
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.78000000000003,0.0447213595511135,0.0020000000000999,309.06000000000006,0.0547722557504454,0.0029999999999922,1570.8,97.69953940526028,9545.200000000004,36.6,6.260990336999401,39.19999999999988,158.0,3.162277660168403,10.00000000000015,2024-01-01 14:30:00,25.67,47.86,75.83
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.0,0.0,309.08000000000004,0.0447213595500418,0.0020000000000041,1508.2,101.62529212750142,10327.700000000004,41.46,8.850028248542474,78.32299999999978,160.2,3.49284983931462,12.200000000000166,2024-01-01 14:45:00,34.84,65.89,84.13
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.8,0.0,0.0,309.08000000000004,0.0447213595500418,0.0020000000000041,1484.4,113.72686577937512,12933.800000000008,43.84,10.105592511080175,102.12299999999976,162.4,3.6469165057621176,13.300000000000171,2024-01-01 15:00:00,21.59,65.15,77.18
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.8,0.0,0.0,309.06000000000006,0.0547722557504454,0.0029999999999922,1507.4,123.09874085464888,15153.300000000005,43.0,10.42473021233642,108.67499999999976,164.6,3.6469165057621176,13.300000000000171,2024-01-01 15:15:00,28.33,47.99,72.22
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.8,0.0,0.0,309.04,0.0547722557503416,0.0029999999999808,1570.6,189.7611656793877,36009.30000000001,39.52,13.882254860072257,192.71699999999973,167.0,3.807886552931978,14.50000000000018,2024-01-01 15:30:00,30.81,30.0,82.68
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.82,0.0447213595509578,0.002000000000086,309.04,0.0547722557503416,0.0029999999999808,1600.8,217.70323837738383,47394.70000000001,38.8,14.606334242375794,213.3449999999997,169.4,3.6469165057621176,13.300000000000171,2024-01-01 15:45:00,32.93,66.3,85.02
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.86,0.0894427191003742,0.0080000000000684,309.04,0.0547722557503416,0.0029999999999808,1629.8,188.2729401693191,35446.70000000001,35.64,11.833553988553044,140.03299999999965,171.8,3.962322551231809,15.700000000000149,2024-01-01 16:00:00,33.56,46.53,78.68
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.9,0.1000000000002494,0.0100000000000498,309.04,0.0547722557503416,0.0029999999999808,1630.0,187.95877207515483,35328.500000000015,34.14,9.363920119266268,87.68299999999961,174.2,3.962322551231809,15.700000000000149,2024-01-01 16:15:00,33.97,70.34,92.5
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.92,0.0836660026536513,0.0070000000000407,309.02,0.08366600265323,0.0069999999999702,1647.4,187.588112629772,35189.30000000001,32.239999999999995,9.29774166128526,86.44799999999958,176.6,3.6469165057621176,13.300000000000171,2024-01-01 16:30:00,28.26,48.66,82.61
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.92,0.0836660026536513,0.0070000000000407,309.0,0.0999999999997993,0.0099999999999598,1574.8,169.06418899341165,28582.70000000001,36.48,8.793861495384132,77.33199999999962,179.0,3.807886552931978,14.50000000000018,2024-01-01 16:45:00,27.69,45.18,65.75
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.9,0.1000000000002494,0.0100000000000498,308.98,0.1095445115008048,0.0119999999999499,1517.8,105.008094926058,11026.700000000008,37.78,7.169170105388742,51.39699999999963,182.0,4.690415759823449,22.00000000000018,2024-01-01 17:00:00,34.29,62.3,92.41
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.88,0.0836660026537634,0.0070000000000595,308.96000000000004,0.0894427190996437,0.0079999999999377,1495.2,115.26794871081904,13286.700000000008,43.2,14.470314440260088,209.38999999999965,184.8,5.118593556827906,26.20000000000016,2024-01-01 17:15:00,29.04,90.0,90.53
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.86,0.054772255751133,0.0030000000000675,308.93999999999994,0.0547722557498221,0.0029999999999239,1601.2,206.5156168428916,42648.7,38.7,17.007792331751926,289.26499999999965,187.6,4.979959839195508,24.800000000000143,2024-01-01 17:30:00,23.62,71.24,85.74
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.86,0.054772255751133,0.0030000000000675,308.98,0.0836660026531243,0.0069999999999526,1555.8,210.05761114513325,44124.2,42.06,16.177546167450725,261.7129999999996,190.6,4.505552130427542,20.300000000000168,2024-01-01 17:45:00,24.33,62.04,89.21
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.88,0.0447213595506798,0.0020000000000611,309.02,0.0836660026532822,0.006999999999979,1536.4,224.4132349038265,50361.30000000001,42.12,16.18755694970676,262.03699999999964,193.4,3.646916505762117,13.300000000000171,2024-01-01 18:00:00,25.4,65.38,91.64
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.92,0.0447213595505527,0.0020000000000498,309.06,0.0547722557505252,0.0030000000000009,1549.4,225.61205641543185,50900.8,42.64,15.835182348176469,250.7529999999996,195.6,3.646916505762117,13.300000000000171,2024-01-01 18:15:00,32.49,33.73,74.34
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.92,0.0447213595505527,0.0020000000000498,309.06000000000006,0.0547722557505252,0.0030000000000009,1587.6,211.85915132464777,44884.3,35.96,9.42141178380393,88.76299999999955,197.8,3.49284983931462,12.200000000000164,2024-01-01 18:30:00,30.71,43.16,89.71
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.9,0.0707106781190533,0.0050000000000563,309.0400000000001,0.0894427190999329,0.0079999999999895,1478.6,112.34010859884368,12620.29999999999,40.78,6.628499075959774,43.93699999999958,200.0,3.1622776601684026,10.000000000000147,2024-01-01 18:45:00,33.45,30.0,82.99
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,298.88,0.0836660026537905,0.007000000000064,309.0,0.0999999999998081,0.0099999999999616,1480.4,111.87850553167034,12516.799999999992,41.260000000000005,7.124113979997764,50.75299999999958,202.0,3.1622776601684026,10.000000000000147,2024-01-01 19:00:00,27.86,85.95,88.54
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,298.86,0.0894427191003996,0.008000000000073,308.96000000000004,0.0894427190996088,0.0079999999999315,1497.6,95.9468602925598,9205.799999999988,40.64,6.914332939626178,47.80799999999957,204.0,3.1622776601684026,10.000000000000147,2024-01-01 19:15:00,30.79,82.91,94.96
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,298.82000000000005,0.0447213595510087,0.0020000000000905,308.92,0.0447213595488684,0.0019999999998991,1458.8,87.04136947452048,7576.199999999984,43.94,7.4651188871979555,55.72799999999964,164.0,91.706052144883,8410.0,2024-01-01 19:30:00,33.13,65.89,86.68
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,298.8,0.0,0.0,308.9,0.0,0.0,1419.0,36.70830968595507,1347.4999999999827,45.06,5.422914345626311,29.40799999999965,124.0,112.29425630903836,12610.0,2024-01-01 19:45:00,28.45,62.03,67.83
